positionerID,robotailID,wokID,holeID,apSpecID,bossSpecID,alphaArmLen,metX,metY,apX,apY,bossX,bossY,alphaOffset,betaOffset,dx,dy
1082,FTO13,flatNominal,R-13C14,13,13,7.36218863208847,14.34230091696064,0.0,14.965,0.376,14.965,-0.376,1.0027095409397344,-2.589104730955762,0.06365199021658209,-0.4488554833332646
1139,FTO59,flatNominal,R-9C3,59,59,7.3980410006257795,14.325186382722382,0.0,14.965,0.376,14.965,-0.376,-0.4769185101039949,0.05836205208948191,0.44328394551765965,-0.5340791234318533
651,FTO72,flatNominal,R-9C16,72,72,7.357476422401339,14.332218988813,0.0,14.965,0.376,14.965,-0.376,0.0723194515336697,0.08282647805631393,0.15489543123860547,-0.47966188647038827
636,FTO76,flatNominal,R-8C2,76,76,7.42822951267698,14.358045340698823,0.0,14.965,0.376,14.965,-0.376,-0.007165410603361083,-0.1531932087928931,0.42944488045106505,-0.5247431877533111
892,FTO88,flatNominal,R-8C15,88,88,7.449646285435777,14.35223945062181,0.0,14.965,0.376,14.965,-0.376,-0.6274737807169802,0.39873903751073814,0.17571756149883894,-0.4929971056050617
960,FTO97,flatNominal,R-7C6,97,97,7.423921616284928,14.354905976596102,0.0,14.965,0.376,14.965,-0.376,0.5924710287991048,-1.1034985655513567,0.3780305434397312,-0.6724287950225709
955,FTO123,flatNominal,R-6C16,123,123,7.403624503949032,14.33182446424212,0.0,14.965,0.376,14.965,-0.376,-0.2598856570368408,0.2358121682314993,0.1695824720519116,-0.5524278458938005
642,FTO131,flatNominal,R-5C4,131,131,7.371858505256695,14.330357771483442,0.0,14.965,0.376,14.965,-0.376,0.32224810240107976,-0.5087772675929451,0.4370398630627422,-0.5969201453074426
958,FTO134,flatNominal,R-5C7,134,134,7.442063506703689,14.327896631346055,0.0,14.965,0.376,14.965,-0.376,0.026614268809742037,1.4965250851338017,0.41100341805194557,-0.5307841153668094
907,FTO146,flatNominal,R-5C19,146,146,7.3875392826777615,14.323931680256479,0.0,14.965,0.376,14.965,-0.376,0.4980925903672411,5.1546085547789575,0.16104785052051918,-0.4733977640790069
844,FTO163,flatNominal,R-4C15,163,163,7.4193273787847005,14.28341804860059,0.0,14.965,0.376,14.965,-0.376,1.341041965018633,0.48330540659819266,0.1988860833924758,-0.5812328986277213
546,FTO169,flatNominal,R-4C22,169,169,7.333044764643745,14.317766230568264,0.0,14.965,0.376,14.965,-0.376,-0.3574061249903674,-0.36003584196791544,-0.010963500985917897,-0.5648596805493609
1120,FTO177,flatNominal,R-3C8,177,177,7.404619976369598,14.315384667324775,0.0,14.965,0.376,14.965,-0.376,1.3685479278264683,0.8979976000144406,0.2670326121066972,-0.6117608928860752
823,FTO186,flatNominal,R-3C17,186,186,7.35389535425335,14.3657118036387,0.0,14.965,0.376,14.965,-0.376,0.7338759540433631,3.4855245477224286,0.06365469411570515,-0.686936042027997
1072,FTO195,flatNominal,R-2C3,195,195,7.385009345394282,14.353271084074754,0.0,14.965,0.376,14.965,-0.376,-0.10739416631221144,0.020215163597304544,0.4416303662437739,-0.680692066658968
1065,FTO198,flatNominal,R-2C6,198,198,7.396120061736415,14.32963791881262,0.0,14.965,0.376,14.965,-0.376,-0.07729544390938918,-0.1055519962438115,0.3662753132362655,-0.7715787973122858
821,FTO207,flatNominal,R-2C19,207,207,7.367701985393803,14.31157690832835,0.0,14.965,0.376,14.965,-0.376,0.41322421847270774,-0.05942481184154607,0.10233708967151608,-0.6265871685075778
1122,FTO211,flatNominal,R-2C23,211,211,7.417406630335437,14.301071224098415,0.0,14.965,0.376,14.965,-0.376,-0.15417688479643796,-1.6607115949628497,-0.02437121611784503,-0.6356989713133413
1084,FTO218,flatNominal,R-1C5,218,218,7.352353783709291,14.274130321268569,0.0,14.965,0.376,14.965,-0.376,1.1495690911473673,0.08371445852211991,0.41110807924661924,-0.7620099834117533
634,FTO222,flatNominal,R-1C9,222,222,7.4193742283297395,14.34698813976646,0.0,14.965,0.376,14.965,-0.376,-0.30694789608310935,-0.12749521447139478,0.34118842307001246,-0.6600996630916959
1097,FTO234,flatNominal,R-1C21,234,234,7.361326308513772,14.359196723564967,0.0,14.965,0.376,14.965,-0.376,0.074459299486535,7.00903089880858,0.045598511869301105,-0.5874851080851831
992,FTO240,flatNominal,R0C1,240,240,7.393151607095712,14.320429240191757,0.0,14.965,0.376,14.965,-0.376,-0.05306162715553338,0.2225218766260702,0.5412375732621495,-0.7248559616829536
929,FTO273,flatNominal,R+13C14,273,273,7.3915953557408445,14.339783607060738,0.0,14.965,0.376,14.965,-0.376,0.10261050268141096,6.173085191161311,0.06805693254707876,-1.0050149369468162
1124,FTO279,flatNominal,R+12C6,279,279,7.402262281092062,14.324342988497493,0.0,14.965,0.376,14.965,-0.376,0.0958935825318123,0.11408098383762673,0.2099224127372311,-1.019850928422374
1273,FTO292,flatNominal,R+11C5,292,292,7.366720161624244,14.318291206064783,0.0,14.965,0.376,14.965,-0.376,1.129798496563908,-2.9898216058339946,0.25905585869496334,-0.9891711625787615
1033,FTO299,flatNominal,R+12C11,299,299,7.360878484414345,14.292279610569045,0.0,14.965,0.376,14.965,-0.376,0.4699996441797731,2.076855748348351,0.10971058714327585,-0.9572018611525474
759,FTO310,flatNominal,R+10C9,310,310,7.362156570874781,14.295969513418664,0.0,14.965,0.376,14.965,-0.376,0.24247452352384402,-7.277584958242967,0.19761443972945436,-0.9355180270775008
628,FTO329,flatNominal,R+9C13,329,329,7.405826124723335,14.342766314312378,0.0,14.965,0.376,14.965,-0.376,0.375135216232152,-1.1887530746003254,0.07300578699890249,-0.9027799983606684
722,FTO341,flatNominal,R+8C7,341,341,7.360991276049536,14.31597138112547,0.0,14.965,0.376,14.965,-0.376,-0.09920413104035194,-0.07731208414195091,0.21367031798976335,-1.0583685667101934
702,FTO345,flatNominal,R+8C12,345,345,7.3525041085696206,14.328092608391644,0.0,14.965,0.376,14.965,-0.376,-0.024424555610209342,-0.04163191041836421,0.15565652252574982,-1.0298476044058946
1209,FTO360,flatNominal,R+7C9,360,360,7.384565305023323,14.328272887683768,0.0,14.965,0.376,14.965,-0.376,0.9335558189752065,0.11713265332714329,0.18140439708679595,-1.1370450958230913
1134,FTO379,flatNominal,R+6C11,379,379,7.370275364611419,14.330176216170404,0.0,14.965,0.376,14.965,-0.376,0.014732952953640951,0.8096392465068495,0.3127982951217115,-0.7779385890255424
797,FTO400,flatNominal,R+5C13,400,400,7.3390639517458425,14.337715167368398,0.0,14.965,0.376,14.965,-0.376,0.059470735944969884,3.7936934179771025,0.14235689132481485,-0.8088568496939345
833,FTO420,flatNominal,R+4C12,420,420,7.390347926104236,14.356691463661841,0.0,14.965,0.376,14.965,-0.376,0.16601054966091225,-0.021558549989871806,0.18716207703227353,-0.8801931235347359
