,positionerID,robotailID,wokID,holeID,apSpecID,bossSpecID,alphaArmLen,metX,metY,apX,apY,bossX,bossY,alphaOffset,betaOffset,dx,dy
0,306,FTO203,flatNominal,R-2C13,203,203,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
1,85,FTO225,flatNominal,R-1C12,225,225,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
2,1090,FTO226,flatNominal,R-1C13,226,226,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
3,6,FTO227,flatNominal,R-1C14,227,227,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
4,1343,FTO228,flatNominal,R-1C15,228,228,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
5,1369,FTO249,flatNominal,R0C13,249,249,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
6,1304,FTO250,flatNominal,R0C15,250,250,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
7,168,FTO463,flatNominal,R+2C13,463,463,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
8,811,FTO485,flatNominal,R+1C12,485,485,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
9,1360,FTO486,flatNominal,R+1C13,486,486,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
10,1029,FTO487,flatNominal,R+1C14,487,487,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
11,1307,FTO488,flatNominal,R+1C15,488,488,7.4,14.314,0,14.965,0.376,14.965,-0.376,0,0,0,0
